,germination,growth,maturity
0,298.4538379530917,309.67418976545844,299.5138699360342
1,298.1336031746032,309.1405238095238,298.9325079365079
2,299.7603394625176,309.96906647807646,299.57200848656294
3,299.08124675324683,310.24987012987015,299.5697662337663
4,300.027675070028,310.14256302521,299.7663025210084
5,299.16101098901106,310.08028571428576,300.0383076923077
6,299.95321428571424,310.0818027210884,299.7390306122449
7,299.93743386243386,310.83116402116406,300.1218518518519
8,300.05193406593406,310.5738461538462,300.00173626373635
9,300.28989583333333,310.846130952381,300.1043154761904
10,297.948188976378,308.87898762654675,299.0187289088864
11,299.1011956521739,310.0748602484472,299.9868167701863
12,299.7380519480519,309.414025974026,299.22170995670996
13,300.2114603174602,310.2376031746032,300.0851428571428
14,298.73554421768705,309.66204081632645,299.2357823129251
15,299.81868458274397,310.37093352192363,299.82441301272985
16,298.8527323162274,309.45791955617204,299.30486823855756
17,298.20404255319147,309.1744984802433,299.13058763931105
18,296.807942057942,306.12328671328675,295.4491408591408
19,298.6176870748299,307.86017006802723,298.16170068027213
20,297.23188095238095,306.56202380952374,296.6229047619048
21,294.3805357142857,302.08571428571423,291.665119047619
22,296.8741071428572,305.99404761904765,295.55976190476196
23,295.5993948412698,303.7819841269841,293.3607738095237
24,297.6954945054945,307.1407326007326,296.76483516483523
25,294.8786759581881,302.56564459930314,292.21466898954696
26,296.85535714285714,305.7154081632653,295.6043112244899
27,295.99713352007467,304.5544070961717,294.73368814192355
28,296.71168367346934,305.31576530612244,295.730612244898
29,296.7888380952381,305.21299047619044,295.9651238095238
30,297.44935714285714,306.5007857142857,297.0115535714285
31,297.34225473321857,306.89020654044754,296.7947848537005
32,296.6402090592334,305.0952961672474,295.4907839721254
33,293.47121019108283,302.3828025477707,292.4278070973612
34,297.02219315895377,305.5847686116701,296.29410462776656
35,296.78041558441544,305.33638961038963,295.907012987013
36,294.6021293800539,302.47234501347714,292.3090161725068
37,296.4117505030181,304.8481891348089,295.0548490945674
38,296.8198333333333,305.1984285714286,295.6546428571429
39,296.4222255639098,304.9039699248121,295.3423609022557
40,298.26472527472527,307.08593406593405,297.74380952380955
41,296.57661764705887,305.46199579831926,295.87016806722687
42,296.76706422018344,305.9955176933159,296.31195281782436
43,295.8610327022376,304.32048192771083,294.26172117039584
44,297.95203125,307.41841517857137,297.6366071428571
45,296.241617063492,305.0036011904762,294.80258928571425
46,298.3236813186813,307.1481043956044,297.87500000000006
47,297.56476190476195,306.72241622574955,296.4878306878307
48,295.33151785714296,303.9878348214286,293.27616071428565
49,297.8355803571428,307.01825892857147,297.6943973214286
50,296.95882142857135,305.70542857142857,295.27061904761905
51,298.0612571428571,306.60148571428573,297.35560000000004
52,296.3025108225107,304.65346320346316,294.30588744588744
53,295.4126043956044,303.56592307692307,293.24581318681317
54,295.51739795918365,304.3155357142858,294.2303996598639
55,298.24396992481206,307.76630075187967,297.9101954887218
56,296.8327678571428,305.61210714285716,296.3097321428571
57,297.7153246753248,307.2513798701299,297.45428571428573
58,297.37137466307274,306.6941239892183,296.63528301886794
59,294.6792488954345,302.11117820324,291.5675846833579
60,298.3338095238096,307.47605042016806,298.06938375350137
61,294.1650810014728,302.25974963181153,292.07673048600884
62,294.9899465954606,303.9024833110814,293.7121628838452
63,294.845467032967,303.20381868131864,292.8582142857143
64,295.6256182472989,304.06962785114047,293.7899519807923
65,295.6346620583717,304.0592933947773,293.6777419354839
66,292.6022180451127,300.9156390977444,291.11148496240594
67,297.35282967032964,306.0814285714286,296.70766483516473
68,294.90551201011385,302.8401011378003,292.5254487989886
69,296.0751204819277,304.49635972461266,294.26973321858867
70,296.81165266106444,305.1871148459384,295.2395238095238
71,296.94912972085376,305.48541871921185,295.6031198686371
72,297.46465367965374,306.47423160173156,296.47154761904767
73,297.5762857142857,306.9934782608695,296.8602111801242
74,297.57571428571435,306.8611213517666,297.0042549923196
75,296.28728813559326,304.6553268765133,294.4313801452784
76,296.5975649350649,305.3539285714286,295.2846266233766
77,298.50947368421055,307.74736842105256,298.10417293233075
78,296.47534090909085,305.1808116883118,294.8594318181819
79,293.88058035714283,301.7743452380952,291.5322321428572
80,296.287229199372,304.77706436420726,294.8029748822606
81,296.68791666666675,305.274255952381,295.3185714285714
82,296.0894034536891,304.19160125588706,293.8975039246468
83,298.1862811791383,307.93884353741504,297.7828117913832
84,297.1893131868131,306.1308104395605,296.35711538461544
85,296.79296352583583,305.6145440729484,295.67674772036474
86,296.76031476997576,305.32503631961265,295.7256900726393
87,294.6684296619411,302.4615485278081,292.14312977099235
