,germination,growth,maturity
0,285.0973347547974,293.8566631130064,284.1429744136461
1,285.2791904761904,294.0494603174603,283.7918253968254
2,286.27478076379066,294.8150495049505,284.38568599717115
3,285.64784415584404,294.2102077922078,284.1695584415584
4,287.17791316526615,295.6222268907563,285.2743977591036
5,285.96024175824175,293.8065494505495,284.7736923076923
6,286.82639455782316,295.2410204081633,284.98192176870754
7,286.5396825396825,294.86633597883605,284.840119047619
8,287.36085714285707,295.4989890109889,285.28197802197803
9,286.5522470238095,294.95674107142855,284.68011904761903
10,285.3495838020247,293.64389201349843,284.3860742407199
11,284.87296583850934,293.2850465838509,283.0752639751553
12,287.4839069264069,295.8025216450216,285.5097943722943
13,287.5496507936508,295.78184126984127,285.6582222222222
14,285.1971428571428,293.4720408163265,283.856768707483
15,285.7671852899576,294.3280480905234,283.995558698727
16,285.40883495145636,293.78848821081823,283.5281276005548
17,285.51367781155017,293.9467781155015,284.4747315096251
18,284.2280819180819,293.0961938061938,281.9206393606393
19,285.7829931972789,294.53690476190474,283.9224489795918
20,284.3354285714286,293.229738095238,282.0692142857142
21,280.9517857142857,289.736011904762,279.5344345238095
22,283.95047619047625,292.8891369047619,281.82095238095246
23,282.405615079365,290.9797222222222,280.236001984127
24,283.7618681318681,293.09432234432245,281.6100366300367
25,281.1640766550522,289.93878048780493,278.93047038327524
26,283.5506632653061,292.5056377551021,281.54469387755097
27,283.26059757236226,291.89189542483666,281.13605042016803
28,283.6786096938776,292.49553571428567,281.6402806122449
29,283.5910666666667,292.2062285714285,281.79194285714277
30,284.0354642857143,292.91171428571425,282.31828571428576
31,284.6815318416523,293.67301204819285,282.57800344234084
32,283.76252613240416,292.44113240418125,281.9353484320557
33,281.6535577797999,291.1110191082803,281.0498908098271
34,283.9894969818913,292.7731589537223,282.1885915492958
35,283.8103116883117,292.3626753246753,281.86462337662334
36,281.2832345013477,290.0484366576819,279.6658894878706
37,283.2711670020121,292.18358148893367,281.4797786720322
38,283.53623809523816,292.1635714285714,281.63821428571435
39,283.2318045112782,292.0935939849624,281.7695639097745
40,284.8758608058608,293.6791941391941,283.2294139194139
41,283.6692016806723,292.40472689075636,281.54355042016806
42,283.93733944954124,292.7573394495413,281.67102228047185
43,282.9216867469879,291.55006884681586,280.7190189328744
44,284.67319196428576,293.6279464285714,282.78964285714284
45,283.33966269841267,292.0681746031746,281.09999999999997
46,285.0535714285715,293.880412087912,283.4219505494505
47,283.8822045855379,293.039417989418,281.8711463844797
48,281.94555803571427,290.8669196428572,280.2377232142857
49,284.6231696428571,293.39734374999995,282.7466964285714
50,283.9606309523809,292.7892857142857,281.8102142857143
51,284.9474285714286,293.71365714285713,283.4900571428571
52,283.5962987012987,292.32259740259735,281.4088528138527
53,282.8572417582418,291.5034505494506,280.6167252747252
54,282.31282312925157,291.0511139455782,280.553630952381
55,284.55911278195487,293.54551879699255,282.599984962406
56,283.98287500000004,292.5144285714286,281.92941071428567
57,284.3248538961039,293.3212662337663,282.5576298701298
58,283.8117789757413,293.05307277628026,281.5761455525606
59,281.2062592047128,290.0582621502209,279.26737849779084
60,285.1552100840337,293.99893557422973,283.58156862745096
61,281.0490868924889,289.9513254786452,279.56029455081006
62,281.89536715620824,290.78101468624834,280.15885180240326
63,281.4981593406593,290.4892857142858,280.04046703296706
64,282.96067226890756,291.63966386554625,280.8015486194478
65,282.28057603686636,290.99920122887863,280.4569201228878
66,280.37005639097737,289.5853195488721,279.83362781954884
67,284.2212637362637,293.1951923076923,282.44222527472533
68,281.6086093552466,290.06939317319853,279.3766624525916
69,282.89352839931155,291.484561101549,280.92649741824454
70,283.6430812324931,292.42948179271707,281.6373949579832
71,283.45443349753697,292.26669950738915,281.6421510673235
72,283.9833333333333,292.9922294372294,281.9155952380952
73,284.64432298136643,293.793950310559,282.5050931677019
74,284.22118279569895,292.99196620583723,282.3729339477726
75,282.8241404358354,291.46564164648913,280.9019128329298
76,283.40771103896105,292.25759740259747,281.1908279220779
77,285.3567669172932,294.2287969924812,283.8030075187971
78,283.61461038961033,292.37217532467525,281.4364772727273
79,280.69903273809524,289.61147321428575,279.37379464285715
80,283.29332025117736,292.20162480376763,281.4093720565149
81,283.66791666666666,292.635505952381,281.65624999999994
82,283.22882260596543,291.97894819466245,281.0778492935636
83,284.37303854875285,293.5044671201815,282.3956235827664
84,283.98364010989,292.79085164835163,281.7197527472527
85,283.34475683890577,292.2741793313069,281.4737234042553
86,283.7316949152543,292.40593220338974,281.7769249394674
87,281.3132824427482,289.9447219193021,279.25906215921486
88,283.00603174603174,291.57178932178937,280.75942279942285
89,284.538064516129,293.5507142857143,282.6144239631336
90,283.3945596868884,292.17761252446184,281.53804305283757
91,283.96253246753247,293.08378787878786,281.9279112554112
92,285.0384636118599,293.88417789757415,283.5766846361186
93,285.8347321428572,294.61660714285716,284.12790178571436
94,282.4351904761905,291.1131428571428,280.5503809523809
95,284.4310559006211,293.67534161490676,282.54934782608706
96,284.2304285714286,293.03659999999996,282.4699142857142
97,283.01049689441,291.961884057971,280.9091718426501
98,284.47707732634336,293.6436828309306,282.6412319790302
99,284.91584821428575,293.89993303571435,283.4007142857143
